Valores de las variables divorcios,...2,...3
NA,26,"Profesionales en derecho, en ciencias sociales y culturales"
NA,31,Profesionales de las ciencias y la ingeniería de nivel medio
NA,32,Profesionales de nivel medio de la salud
NA,33,Profesionales de nivel medio en operaciones financieras y administrativas
NA,34,"Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines"
NA,35,Técnicos de la tecnología de la información y las comunicaciones
NA,41,Oficinistas
NA,42,Empleados en trato directo con el público
NA,43,Empleados contables y encargados del registro de materiales
NA,44,Otro personal de apoyo administrativo
NA,51,Trabajadores de los servicios personales
NA,52,Vendedores
NA,53,Trabajadores de los cuidados personales
NA,54,Personal de los servicios de protección
NA,72,"Oficiales y operarios de la metalurgia, la construcción mecánica y afines"
NA,73,Artesanos y operarios de las artes gráficas
NA,75,"Operarios y oficiales de procesamiento de alimentos, de la confección, ebanistas, otros artesanos y afines"
NA,81,Operadores de instalaciones fijas y máquinas
NA,91,Limpiadores y asistentes
NA,92,"Peones agropecuarios, pesqueros y forestales"
NA,93,"Peones de la minería, la construcción, la industria manufacturera y el transporte"
NA,94,Ayudantes de preparación de alimentos
NA,97,No especificado en otro grupo
NA,99,Ignorado
